"","district_name","district_percent_homeless","district_lea","district_bak"
"1","GUY-PERKINS SCHOOL DISTRICT",0.226865671641791,2304000,"GUY-PERKINS"
"2","BRADFORD SCHOOL DISTRICT",0.203233256351039,7303000,"BRADFORD"
"3","FRIENDSHIP ASPIRE ACADEMY PINE BLUFF",0.196428571428571,3544700,"FRIENDSHIPASPIREACADEMYPINEBLUFF"
"4","WEST SIDE SCHOOL DIST(CLEBURNE)",0.18695652173913,1204000,"WESTSIDEDIST(CLEBURNE)"
"5","FLIPPIN SCHOOL DISTRICT",0.179310344827586,4501000,"FLIPPIN"
"6","JASPER SCHOOL DISTRICT",0.177095631641086,5102000,"JASPER"
"7","BLYTHEVILLE SCHOOL DISTRICT",0.15807903951976,4702000,"BLYTHEVILLE"
"8","ALPENA SCHOOL DISTRICT",0.155893536121673,501000,"ALPENA"
"9","CLINTON SCHOOL DISTRICT",0.14274322169059,7102000,"CLINTON"
"10","MT. VERNON/ENOLA SCHOOL DISTRICT",0.141987829614604,2306000,"MT.VERNON/ENOLA"
"11","HAMPTON SCHOOL DISTRICT",0.139616055846422,701000,"HAMPTON"
"12","LEAD HILL SCHOOL DISTRICT",0.138418079096045,506000,"LEADHILL"
"13","PARIS SCHOOL DISTRICT",0.137998056365403,4203000,"PARIS"
"14","HECTOR SCHOOL DISTRICT",0.133680555555556,5803000,"HECTOR"
"15","COUNTY LINE SCHOOL DISTRICT",0.133196721311475,2403000,"COUNTYLINE"
"16","CROSS COUNTY SCHOOL DISTRICT",0.132987910189983,1901000,"CROSSCOUNTY"
"17","BRINKLEY SCHOOL DISTRICT",0.132034632034632,4801000,"BRINKLEY"
"18","BOONEVILLE SCHOOL DISTRICT",0.125105663567202,4201000,"BOONEVILLE"
"19","BERRYVILLE SCHOOL DISTRICT",0.123345685547909,801000,"BERRYVILLE"
"20","HACKETT SCHOOL DISTRICT",0.123015873015873,6603000,"HACKETT"
"21","JUNCTION CITY SCHOOL DISTRICT",0.120426829268293,7003000,"JUNCTIONCITY"
"22","OMAHA SCHOOL DISTRICT",0.113756613756614,504000,"OMAHA"
"23","NEWPORT SCHOOL DISTRICT",0.113676731793961,3403000,"NEWPORT"
"24","NORFORK SCHOOL DISTRICT",0.113207547169811,304000,"NORFORK"
"25","MANILA SCHOOL DISTRICT",0.09689557855127,4712000,"MANILA"
"26","SOUTH PIKE COUNTY SCHOOL DISTRICT",0.0931952662721894,5504000,"SOUTHPIKECOUNTY"
"27","AUGUSTA SCHOOL DISTRICT",0.0921409214092141,7401000,"AUGUSTA"
"28","SOUTH CONWAY COUNTY SCHOOL DISTRICT",0.0891748003549246,1507000,"SOUTHCONWAYCOUNTY"
"29","TWO RIVERS SCHOOL DISTRICT",0.0838183934807916,7510000,"TWORIVERS"
"30","VILONIA SCHOOL DISTRICT",0.0829508196721312,2307000,"VILONIA"
"31","CADDO HILLS SCHOOL DISTRICT",0.0807899461400359,4901000,"CADDOHILLS"
"32","TRUMANN SCHOOL DISTRICT",0.0804054054054054,5605000,"TRUMANN"
"33","SLOAN-HENDRIX SCHOOL DISTRICT",0.0786516853932584,3806000,"SLOAN-HENDRIX"
"34","GREENLAND SCHOOL DISTRICT",0.077023498694517,7204000,"GREENLAND"
"35","QUITMAN SCHOOL DISTRICT",0.0740203193033382,1203000,"QUITMAN"
"36","WONDERVIEW SCHOOL DISTRICT",0.0739130434782609,1505000,"WONDERVIEW"
"37","HILLCREST SCHOOL DISTRICT",0.072992700729927,3809000,"HILLCREST"
"38","WHITE CO. CENTRAL SCHOOL DIST.",0.0729442970822281,7304000,"WHITECO.CENTRALDIST."
