GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below the poverty level:,Margin of Error; Income in the past 12 months below the poverty level:,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school:,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school:,"Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in kindergarten,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in kindergarten,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Estimate; Income in the past 12 months below the poverty level: - Not enrolled in school,Margin of Error; Income in the past 12 months below the poverty level: - Not enrolled in school,Estimate; Income in the past 12 months at or above the poverty level:,Margin of Error; Income in the past 12 months at or above the poverty level:,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school:,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school:,"Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in kindergarten,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in kindergarten,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Estimate; Income in the past 12 months at or above the poverty level: - Not enrolled in school,Margin of Error; Income in the past 12 months at or above the poverty level: - Not enrolled in school
0100000US,,United States,301570562,17632,43034736,254657,15667994,110765,875345,10159,904240,11832,3403119,38769,3073694,28896,2963331,24448,3745623,20980,702642,6516,27366742,148027,258535826,260533,62357932,186497,3986309,28051,3162576,18681,12652289,38011,13128100,31885,13810208,32276,12230237,45155,3388213,29543,196177894,83618
0400000US05,05,Arkansas,2779898,1906,490049,8527,174607,4293,12888,897,11226,946,40310,1674,36055,1403,32036,1367,37342,1865,4750,611,315442,5584,2289849,8616,528602,4797,35878,1334,28273,1127,114173,2186,114035,2159,120772,1643,92539,2299,22932,1223,1761247,6288
9700000US0500001,0500001,"DeWitt School District, Arkansas",8364,256,1537,257,423,149,28,36,75,49,94,61,60,35,61,52,105,49,0,16,1114,171,6827,300,1394,165,188,94,68,36,243,89,260,60,455,104,153,55,27,19,5433,261
9700000US0500006,0500006,"Warren School District, Arkansas",8009,314,2174,382,736,186,39,44,50,38,145,78,162,75,229,97,103,63,8,14,1438,257,5835,340,1119,203,108,78,30,27,363,120,190,78,155,79,206,93,67,46,4716,281
9700000US0500009,0500009,"Corning Public Schools, Arkansas",6175,289,1604,304,540,183,44,36,23,26,156,64,143,81,141,69,33,20,0,16,1064,192,4571,395,776,180,72,47,7,9,148,57,161,81,255,83,130,60,3,7,3795,302
9700000US0500012,0500012,"Riverside School District, Arkansas",4251,427,762,216,213,94,13,13,10,11,38,26,106,64,21,23,18,15,7,10,549,144,3489,394,832,156,26,24,81,50,144,64,175,65,338,101,50,26,18,16,2657,313
9700000US0500015,0500015,"Sheridan School District, Arkansas",25744,804,2976,618,736,245,34,33,42,28,209,115,214,122,125,61,103,70,9,16,2240,483,22768,936,5817,537,288,123,327,142,1462,256,1335,279,1194,193,1099,358,112,64,16951,647
9700000US0500016,0500016,"Marmaduke School District, Arkansas",3850,372,621,195,207,116,6,7,35,37,84,58,24,24,21,21,34,32,3,6,414,116,3229,364,871,172,37,44,53,51,214,65,243,72,163,70,142,65,19,27,2358,278
9700000US0500017,0500017,"Paragould School District, Arkansas",19007,1189,3138,627,962,337,104,76,156,140,225,120,143,72,131,80,203,123,0,21,2176,384,15869,1166,3835,542,362,108,157,95,927,239,552,170,986,241,724,228,127,80,12034,835
