"","LEA2","Name","Address","x1","district_name","district_enrollment","district_percent_gifted_and_talented","district_percent_special_education","district_percent_homeless","district_percent_lep","district_percent_frl","district_percent_white","district_percent_hispanic","district_percent_black","district_percent_other_races","district_overall_percent_minority","region","is_charter","district_lea","LEA","lon","lat"
"1",6040700,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS","900 Edgewood Dr
Maumelle
AR - 72113",1,"ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",1408,0,0.0724431818181818,0.0106534090909091,0.0191761363636364,0.280739161336176,0.683948863636364,0.0617897727272727,0.191761363636364,0.0625,0.316051136363636,3,1,6040700,"6040700",-92.4050481,34.8653229
"2",1701000,"ALMA SCHOOL DISTRICT","916 Hwy 64 East
Alma
AR - 72921",2,"ALMA SCHOOL DISTRICT",3244,0.101789019123998,0.130783466995682,0.0293028994447872,0.00863664404688464,0.481196054254007,0.86035758323058,0.0428483353884094,0.0138717632552404,0.0829223181257707,0.13964241676942,1,0,1701000,"1701000",-94.2090306,35.4878649
"3",501000,"ALPENA SCHOOL DISTRICT","300 S Denver St
Alpena
AR - 72611",3,"ALPENA SCHOOL DISTRICT",526,0.0836501901140684,0.129277566539924,0.155893536121673,0.00570342205323194,0.673003802281369,0.944866920152091,0.0380228136882129,0.00760456273764259,0.00950570342205323,0.0551330798479087,1,0,501000,"501000",-93.2950719,36.2916191
"4",6091000,"ARK. SCHOOL FOR THE BLIND","2600 W Markham St.
Little Rock
AR - 72203",4,"ARK. SCHOOL FOR THE BLIND",88,0.188235294117647,1.03529411764706,0,0.0117647058823529,0.454545454545455,0.522727272727273,0.0795454545454545,0.318181818181818,0.0795454545454545,0.477272727272727,3,0,6091000,"6091000",-92.3007761,34.7528216
"5",6092000,"ARK. SCHOOL FOR THE DEAF","2400 West Markham St
Little Rock
AR - 72203-3811",5,"ARK. SCHOOL FOR THE DEAF",103,0,0.932038834951456,0,0.00970873786407767,0.682926829268293,0.514563106796116,0.135922330097087,0.262135922330097,0.087378640776699,0.485436893203884,3,0,6092000,"6092000",-92.2987065,34.7507045
"6",1002000,"ARKADELPHIA SCHOOL DISTRICT","235 North 11Th
Arkadelphia
AR - 71923",6,"ARKADELPHIA SCHOOL DISTRICT",1745,0.120343839541547,0.139255014326648,0,0.00859598853868195,0.565042979942693,0.502005730659026,0.067621776504298,0.382234957020057,0.0481375358166189,0.497994269340974,4,0,1002000,"1002000",-93.0605154,34.1236378
"7",440700,"ARKANSAS ARTS ACADEMY","8 Halsted Circle, Ste #5
Rogers
AR - 72758",7,"ARKANSAS ARTS ACADEMY",1025,0,0.101463414634146,0.0292682926829268,0.0575609756097561,0.269268292682927,0.743414634146341,0.139512195121951,0.0126829268292683,0.104390243902439,0.256585365853659,1,1,440700,"440700",NA,NA
"8",444700,"ARKANSAS CONNECTIONS ACADEMY","609 S W 8Th Street
Bentonville
AR - 72712",8,"ARKANSAS CONNECTIONS ACADEMY",1236,0.052588996763754,0.121359223300971,0.00970873786407767,0.00809061488673139,0.620550161812298,0.738673139158576,0.0752427184466019,0.104368932038835,0.0817152103559871,0.261326860841424,1,1,444700,"444700",-94.2159565,36.3628747
"9",6043700,"ARKANSAS VIRTUAL ACADEMY","10802 Executive Center Dr
Little Rock
AR - 72211",9,"ARKANSAS VIRTUAL ACADEMY",2361,0,0.146548072850487,0.00338839474798814,0.0173655230834392,0.669631512071156,0.784836933502753,0.0643795002117747,0.1143583227446,0.0364252435408725,0.215163066497247,3,1,6043700,"6043700",-92.3952049,34.7398345
"10",4701000,"ARMOREL SCHOOL DISTRICT","7 South Main St
Armorel
AR - 72310",10,"ARMOREL SCHOOL DISTRICT",412,0.104368932038835,0.140776699029126,0.0121359223300971,0.029126213592233,0.449029126213592,0.861650485436893,0.0339805825242718,0.0728155339805825,0.0315533980582524,0.138349514563107,2,0,4701000,"4701000",-89.79941,35.9171821
"11",4101000,"ASHDOWN SCHOOL DISTRICT","511 N. Second
Ashdown
AR - 71822",11,"ASHDOWN SCHOOL DISTRICT",1395,0.0924731182795699,0.124014336917563,0.0200716845878136,0.0114695340501792,0.634408602150538,0.623655913978495,0.0422939068100358,0.260215053763441,0.0738351254480287,0.376344086021505,4,0,4101000,"4101000",-94.1342445,33.6741003
"12",5801000,"ATKINS SCHOOL DISTRICT","302 Avenue Two Nw
Atkins
AR - 72823",12,"ATKINS SCHOOL DISTRICT",952,0.101890756302521,0.178571428571429,0.0567226890756303,0.0136554621848739,0.644957983193277,0.925420168067227,0.0252100840336134,0.0178571428571429,0.0315126050420168,0.0745798319327731,1,0,5801000,"5801000",-92.9391932,35.244066
"13",7401000,"AUGUSTA SCHOOL DISTRICT","#10 Red Devil Dr
Augusta
AR - 72006",13,"AUGUSTA SCHOOL DISTRICT",369,0.111111111111111,0.119241192411924,0.0921409214092141,0,0.86449864498645,0.409214092140921,0.010840108401084,0.550135501355014,0.029810298102981,0.590785907859079,2,0,7401000,"7401000",NA,NA
"14",7301000,"BALD KNOB SCHOOL DISTRICT","103 West Park Street
Bald Knob
AR - 72010",14,"BALD KNOB SCHOOL DISTRICT",1190,0.117647058823529,0.138655462184874,0.0176470588235294,0.0117647058823529,0.589075630252101,0.857142857142857,0.073109243697479,0.0235294117647059,0.046218487394958,0.142857142857143,2,0,7301000,"7301000",-91.5713682,35.3127319
"15",5401000,"BARTON-LEXA SCHOOL DISTRICT","9546 Hwy 85 South
Barton
AR - 72312",15,"BARTON-LEXA SCHOOL DISTRICT",725,0.113103448275862,0.121379310344828,0.0137931034482759,0,0.855172413793103,0.615172413793104,0.0262068965517241,0.339310344827586,0.0193103448275862,0.384827586206897,5,0,5401000,"5401000",-90.7674801,34.5499707
"16",3201000,"BATESVILLE SCHOOL DISTRICT","955 Water St
Batesville
AR - 72501",16,"BATESVILLE SCHOOL DISTRICT",3065,0.0685154975530179,0.130831973898858,0.0208809135399674,0.153344208809135,0.533289817232376,0.682544861337684,0.219902120717781,0.064926590538336,0.032626427406199,0.317455138662316,2,0,3201000,"3201000",-91.6467127,35.776078
"17",6301000,"BAUXITE SCHOOL DISTRICT","800 School Street
Bauxite
AR - 72011",17,"BAUXITE SCHOOL DISTRICT",1698,0.0659599528857479,0.101295641931684,0.00647820965842167,0.0111896348645465,0.403415783274441,0.908127208480565,0.0465253239104829,0.0253239104829211,0.0200235571260306,0.0918727915194346,3,0,6301000,"6301000",-92.5107472,34.553545
"18",1601000,"BAY SCHOOL DISTRICT","700 School St
Bay
AR - 72411-39",18,"BAY SCHOOL DISTRICT",622,0.0755627009646302,0.184887459807074,0.0707395498392283,0.00160771704180064,0.65112540192926,0.92443729903537,0.0144694533762058,0.0385852090032154,0.022508038585209,0.0755627009646302,2,0,1601000,"1601000",-90.5667253,35.7473782
"19",5201000,"BEARDEN SCHOOL DISTRICT","100 Oak Ave
Bearden
AR - 71720",19,"BEARDEN SCHOOL DISTRICT",483,0.169772256728778,0.105590062111801,0.0144927536231884,0,0.710144927536232,0.540372670807453,0.041407867494824,0.370600414078675,0.0476190476190476,0.459627329192547,4,0,5201000,"5201000",-92.6206738,33.7281636
"20",7302000,"BEEBE SCHOOL DISTRICT","1201 W. Center St.
Beebe
AR - 72012",20,"BEEBE SCHOOL DISTRICT",3265,0.0704872816426601,0.149555623659209,0.00122586576769844,0.0171621207477781,0.493415007656968,0.868606431852986,0.0548238897396631,0.0404287901990812,0.0361408882082695,0.131393568147014,2,0,7302000,"7302000",-91.8973745,35.0675618
"21",6302000,"BENTON SCHOOL DISTRICT","207 W. Conway
Benton
AR - 72015",21,"BENTON SCHOOL DISTRICT",5547,0.110890732059142,0.101514605120808,0.00342589253516048,0.0405697800216372,0.403100775193798,0.778078240490355,0.0780602127276005,0.097530196502614,0.0463313502794303,0.221921759509645,3,0,6302000,"6302000",-92.5884287,34.5658661
"22",401000,"BENTONVILLE SCHOOL DISTRICT","500 Tiger Blvd
Bentonville
AR - 72712",22,"BENTONVILLE SCHOOL DISTRICT",17225,0.0592334494773519,0.103658536585366,0.014924506387921,0.044541231126597,0.231117561683599,0.730914368650218,0.115413642960813,0.0303628447024673,0.123309143686502,0.269085631349782,1,0,401000,"401000",-94.2146754,36.3864015
"23",502000,"BERGMAN SCHOOL DISTRICT","P.O. Box 1
Bergman
AR - 72615",23,"BERGMAN SCHOOL DISTRICT",1085,0.0552995391705069,0.108755760368664,0.00368663594470046,0.00276497695852535,0.606451612903226,0.951152073732719,0.0276497695852535,0.00552995391705069,0.015668202764977,0.0488479262672811,1,0,502000,"502000",-93.011942,36.3167457
"24",801000,"BERRYVILLE SCHOOL DISTRICT","902 West Trimble
Berryville
AR - 72616",24,"BERRYVILLE SCHOOL DISTRICT",1889,0.0947591318157755,0.164637374272102,0.123345685547909,0.175224986765484,0.705134992059291,0.662255161461091,0.274748544203282,0.00370566437268396,0.0592906299629434,0.337744838538909,1,0,801000,"801000",-93.5840873,36.3723701
"25",3001000,"BISMARCK SCHOOL DISTRICT","11636 Hwy 84
Bismarck
AR - 71929-8170",25,"BISMARCK SCHOOL DISTRICT",996,0.106425702811245,0.142570281124498,0.0662650602409639,0.0240963855421687,0.640562248995984,0.889558232931727,0.071285140562249,0.0160642570281124,0.0230923694779116,0.110441767068273,3,0,3001000,"3001000",-93.1763762,34.3153119
"26",2901000,"BLEVINS SCHOOL DISTRICT","5954 Hwy 29N
Blevins
AR - 71825",26,"BLEVINS SCHOOL DISTRICT",492,0.0995934959349594,0.132113821138211,0.0447154471544715,0.0630081300813008,0.819105691056911,0.658536585365854,0.150406504065041,0.154471544715447,0.0365853658536585,0.341463414634146,4,0,2901000,"2901000",-93.5679062,33.8801996
"27",4702000,"BLYTHEVILLE SCHOOL DISTRICT","405 West Park
Blytheville
AR - 72316",27,"BLYTHEVILLE SCHOOL DISTRICT",2000,0.0795397698849425,0.126063031515758,0.15807903951976,0.0295147573786893,0.7955,0.1355,0.0385,0.8185,0.0075,0.8645,2,0,4702000,"4702000",-89.9068219,35.9323808
"28",4201000,"BOONEVILLE SCHOOL DISTRICT","381 W. Seventh St.
Booneville
AR - 72927",28,"BOONEVILLE SCHOOL DISTRICT",1183,0.145393068469992,0.134404057480981,0.125105663567202,0.00422654268808115,0.718512256973795,0.881656804733728,0.0532544378698225,0.00422654268808115,0.0608622147083686,0.118343195266272,1,0,4201000,"4201000",-93.9262122,35.1448831
"29",7303000,"BRADFORD SCHOOL DISTRICT","504 West Main St
Bradford
AR - 72020",29,"BRADFORD SCHOOL DISTRICT",433,0.150115473441109,0.187066974595843,0.203233256351039,0,0.785219399538106,0.958429561200924,0.0161662817551963,0.0254041570438799,0,0.0415704387990762,2,0,7303000,"7303000",-91.4608402,35.4249444
"30",4801000,"BRINKLEY SCHOOL DISTRICT","200 Tiger Drive
Brinkley
AR - 72021",30,"BRINKLEY SCHOOL DISTRICT",462,0.0822510822510823,0.138528138528139,0.132034632034632,0,0.787878787878788,0.29004329004329,0.0108225108225108,0.69047619047619,0.00865800865800866,0.70995670995671,5,0,4801000,"4801000",-91.1953157,34.8771991
"31",1603000,"BROOKLAND SCHOOL DISTRICT","200 W. School St.
Brookland
AR - 72417",31,"BROOKLAND SCHOOL DISTRICT",2557,0.0645287446226046,0.137270238560813,0.0175987485334376,0.013687915526007,0.312866640594447,0.91435275713727,0.0434102463824795,0.0219006648416113,0.020336331638639,0.0856472428627298,2,0,1603000,"1603000",-90.5824333,35.9076292
"32",6303000,"BRYANT SCHOOL DISTRICT","200 N.W. Fourth St.
Bryant
AR - 72022",32,"BRYANT SCHOOL DISTRICT",9136,0.109894921190893,0.123358143607706,0.00426882661996497,0.0688485113835376,0.382114711033275,0.658384413309983,0.134413309982487,0.169220665499124,0.0379816112084063,0.341615586690018,3,0,6303000,"6303000",-92.490216,34.5980991
"33",1605000,"BUFFALO IS. CENTRAL SCH. DIST.","Hwy 18 E
Monette
AR - 72447",33,"BUFFALO IS. CENTRAL SCH. DIST.",724,0.121546961325967,0.140883977900552,0.0138121546961326,0.106353591160221,0.549723756906077,0.799723756906077,0.18646408839779,0.00414364640883978,0.00966850828729282,0.200276243093923,2,0,1605000,"1605000",-90.3439414,35.8984991
"34",4304000,"CABOT SCHOOL DISTRICT","602 No Lincoln
Cabot
AR - 72023",34,"CABOT SCHOOL DISTRICT",10292,0.112320248736883,0.134181888845705,0.00262339681305869,0.0190439176059075,0.3941896618733,0.861348620287602,0.0581033812670035,0.0248736883015935,0.055674310143801,0.138651379712398,3,0,4304000,"4304000",-92.0076596,34.9753737
"35",4901000,"CADDO HILLS SCHOOL DISTRICT","2268 Hwy 8 East
Norman
AR - 71960",35,"CADDO HILLS SCHOOL DISTRICT",557,0.132854578096948,0.125673249551167,0.0807899461400359,0.0125673249551167,0.789946140035907,0.800718132854578,0.168761220825853,0.00179533213644524,0.0287253141831239,0.199281867145422,4,0,4901000,"4901000",-93.6312389,34.4198507
"36",3301000,"CALICO ROCK SCHOOL DISTRICT","301 College St
Calico Rock
AR - 72519",36,"CALICO ROCK SCHOOL DISTRICT",367,0.130790190735695,0.122615803814714,0.0408719346049046,0.00817438692098093,0.700272479564033,0.964577656675749,0.0272479564032698,0,0.00817438692098093,0.0354223433242507,2,0,3301000,"3301000",-92.1351272,36.1175139
"37",5204000,"CAMDEN FAIRVIEW SCHOOL DISTRICT","625 Clifton Street
Camden
AR - 71701",37,"CAMDEN FAIRVIEW SCHOOL DISTRICT",2369,0.0578303081468974,0.119037568594344,0.0194174757281553,0.0236386661038413,0.756015196285353,0.307302659349937,0.0299704516673702,0.611228366399325,0.0514985225833685,0.692697340650063,4,0,5204000,"5204000",-92.8387963,33.587062
"38",6056700,"CAPITAL CITY LIGHTHOUSE ACADEMY","401 Main St
North Little Rock
AR - 72114",38,"CAPITAL CITY LIGHTHOUSE ACADEMY",213,0.0328638497652582,0.0657276995305164,0.0140845070422535,0.0610328638497653,0.826291079812207,0.0328638497652582,0.0657276995305164,0.882629107981221,0.0187793427230047,0.967136150234742,3,1,6056700,"6056700",-92.2680512,34.75724
"39",4303000,"CARLISLE SCHOOL DISTRICT","520 Center
Carlisle
AR - 72024",39,"CARLISLE SCHOOL DISTRICT",634,0.121451104100946,0.116719242902208,0.0725552050473186,0.0157728706624606,0.607255520504732,0.832807570977918,0.0457413249211356,0.102523659305994,0.0189274447949527,0.167192429022082,3,0,4303000,"4303000",-91.7328487,34.7795147
"40",6802000,"CAVE CITY SCHOOL DISTRICT","711 North Main
Cave City
AR - 72521",40,"CAVE CITY SCHOOL DISTRICT",1203,0.096586178184846,0.152373022481266,0.0199833472106578,0.0141548709408826,0.767248545303408,0.927680798004987,0.0457190357439734,0.0133000831255195,0.0133000831255195,0.0723192019950125,2,0,6802000,"6802000",-91.5489769,35.9520241
"41",3212000,"CEDAR RIDGE SCHOOL DISTRICT","1502 N Hill Street
Newark
AR - 72562",41,"CEDAR RIDGE SCHOOL DISTRICT",733,0.154371584699454,0.16120218579235,0.0341530054644809,0.0136612021857923,0.718963165075034,0.935879945429741,0.0463847203274216,0.00409276944065484,0.0136425648021828,0.0641200545702592,2,0,3212000,"3212000",-91.4463031,35.7194834
"42",1702000,"CEDARVILLE SCHOOL DISTRICT","9500 Pirates Point
Cedarville
AR - 72932",42,"CEDARVILLE SCHOOL DISTRICT",745,0.119463087248322,0.195973154362416,0.0389261744966443,0,0.723489932885906,0.825503355704698,0.0429530201342282,0,0.131543624161074,0.174496644295302,1,0,1702000,"1702000",-94.3668768,35.5721123
"43",5502000,"CENTERPOINT SCHOOL DISTRICT","755 Hwy 8 East
Amity
AR - 71921",43,"CENTERPOINT SCHOOL DISTRICT",964,0.0674273858921162,0.143153526970954,0.0425311203319502,0.12551867219917,0.70954356846473,0.770746887966805,0.201244813278008,0.00103734439834025,0.0269709543568465,0.229253112033195,4,0,5502000,"5502000",-93.5084123,34.2865323
"44",2402000,"CHARLESTON SCHOOL DISTRICT","125 West Main St
Charleston
AR - 72933",44,"CHARLESTON SCHOOL DISTRICT",902,0.0776053215077605,0.119733924611973,0.00997782705099778,0,0.476718403547672,0.894678492239468,0.0388026607538803,0.00997782705099778,0.0565410199556541,0.105321507760532,1,0,2402000,"2402000",NA,NA
"45",4802000,"CLARENDON SCHOOL DISTRICT","316 N 6Th Street
Clarendon
AR - 72029",45,"CLARENDON SCHOOL DISTRICT",456,0.118421052631579,0.182017543859649,0.0526315789473684,0.0504385964912281,0.923245614035088,0.333333333333333,0.0921052631578947,0.508771929824561,0.0657894736842105,0.666666666666667,5,0,4802000,"4802000",-91.3075179,34.6954004
"46",3601000,"CLARKSVILLE SCHOOL DISTRICT","1701 Clark Road
Clarksville
AR - 72830",46,"CLARKSVILLE SCHOOL DISTRICT",2530,0.0383399209486166,0.138735177865613,0.0363636363636364,0.25098814229249,0.712648221343874,0.508695652173913,0.356916996047431,0.01699604743083,0.117391304347826,0.491304347826087,1,0,3601000,"3601000",-93.4830554,35.4607219
"47",1305000,"CLEVELAND COUNTY SCHOOL DISTRICT","700 Main St
Rison
AR - 71665",47,"CLEVELAND COUNTY SCHOOL DISTRICT",832,0.125,0.138221153846154,0.0348557692307692,0.015625,0.581730769230769,0.683894230769231,0.0300480769230769,0.270432692307692,0.015625,0.316105769230769,5,0,1305000,"1305000",-92.1877462,33.9552515
"48",7102000,"CLINTON SCHOOL DISTRICT","683 Poplar St
Clinton
AR - 72031",48,"CLINTON SCHOOL DISTRICT",1255,0.106060606060606,0.161881977671451,0.14274322169059,0.0279106858054226,0.69800796812749,0.906772908366534,0.0661354581673307,0.00318725099601594,0.0239043824701195,0.0932270916334661,1,0,7102000,"7102000",-92.462161,35.5878815
"49",1201000,"CONCORD SCHOOL DISTRICT","P.O. Box 10
Concord
AR - 72523",49,"CONCORD SCHOOL DISTRICT",455,0.0703296703296703,0.162637362637363,0.0703296703296703,0.0043956043956044,0.635164835164835,0.962637362637363,0.021978021978022,0.0021978021978022,0.0131868131868132,0.0373626373626374,2,0,1201000,"1201000",-91.8476443,35.6636886
"50",2301000,"CONWAY SCHOOL DISTRICT","2220 Prince Street
Conway
AR - 72034",50,"CONWAY SCHOOL DISTRICT",9975,0.0891228070175439,0.124210526315789,0.0107268170426065,0.0512280701754386,0.49453634085213,0.557092731829574,0.103057644110276,0.283609022556391,0.0562406015037594,0.442907268170426,3,0,2301000,"2301000",-92.4575955,35.0925981
"51",1101000,"CORNING SCHOOL DISTRICT","P.O. Box 479
Corning
AR - 72422",51,"CORNING SCHOOL DISTRICT",844,0.0819477434679335,0.140142517814727,0.00356294536817102,0,0.729857819905213,0.96563981042654,0.0260663507109005,0.00829383886255924,0,0.0343601895734597,2,0,1101000,"1101000",-90.5798336,36.4078388
"52",5707000,"COSSATOT RIVER SCHOOL DISTRICT","130 School Dr
Wickes
AR - 71973",52,"COSSATOT RIVER SCHOOL DISTRICT",986,0.09026369168357,0.13184584178499,0.00304259634888438,0.176470588235294,0.762677484787018,0.644016227180527,0.283975659229209,0.0050709939148073,0.0669371196754564,0.355983772819473,4,0,5707000,"5707000",-94.3325815,34.2981913
"53",302000,"COTTER SCHOOL DISTRICT","P.O. Box 70
Cotter
AR - 72626",53,"COTTER SCHOOL DISTRICT",748,0.0574866310160428,0.144385026737968,0.0655080213903743,0.0053475935828877,0.699197860962567,0.957219251336898,0.0240641711229947,0.00267379679144385,0.0160427807486631,0.0427807486631016,1,0,302000,"302000",-92.5354402,36.2711798
